Thermistor Temperature,Thermistor Voltage,Thermocouple Temperature,Thermocouple Voltage
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.389,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.354
21.2,1.386,21.2,1.35
21.2,1.389,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.383,21.2,1.347
21.2,1.383,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.354
21.2,1.386,21.2,1.35
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.35
21.2,1.386,21.2,1.347
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.347
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.354
21.2,1.379,21.2,1.35
21.2,1.383,21.2,1.354
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.354
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.354
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.354
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.35
21.2,1.383,21.2,1.347
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.383,21.2,1.354
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.35
21.2,1.386,21.2,1.35
40,1.437,40,1.447
40,1.437,40,1.447
40,1.434,40,1.447
40,1.441,40,1.447
40,1.441,40,1.447
40,1.441,40,1.444
40,1.441,40,1.444
40,1.437,40,1.447
40,1.437,40,1.447
40,1.441,40,1.447
40,1.444,40,1.447
40,1.441,40,1.447
40,1.437,40,1.444
40,1.437,40,1.45
40,1.441,40,1.447
40,1.441,40,1.447
40,1.441,40,1.447
40,1.441,40,1.447
40,1.437,40,1.447
40,1.441,40,1.447
40,1.441,40,1.447
40,1.441,40,1.447
40,1.441,40,1.45
40,1.437,40,1.444
40,1.437,40,1.447
40,1.441,40,1.447
40,1.437,40,1.447
40,1.441,40,1.447
40,1.441,40,1.447
40,1.441,40,1.444
40,1.441,40,1.447
40,1.441,40,1.447
40,1.437,40,1.447
40,1.441,40,1.444
40,1.437,40,1.447
40,1.441,40,1.444
40,1.441,40,1.447
40,1.441,40,1.444
40,1.444,40,1.447
40,1.441,40,1.447
40,1.441,40,1.444
40,1.441,40,1.444
40,1.441,40,1.45
40,1.441,40,1.444
40,1.441,40,1.447
40,1.441,40,1.447
40,1.437,40,1.447
40,1.441,40,1.447
40,1.441,40,1.45
40,1.441,40,1.447
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.46,54.1,1.521
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.518
47.2,1.46,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.521
47.2,1.466,54.1,1.515
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.466,54.1,1.521
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.46,54.1,1.518
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.518
47.2,1.466,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.515
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.518
47.2,1.463,54.1,1.521
47.2,1.463,54.1,1.521
