Pump Configuration,Data Type,Valve Configuration,Pump Speed,Volumetric Flow,Corrected Head,Head Coeff,Flow Coeff,Flow Uncertainty,Head Uncertainty,Head Coeff Uncertainty,Flow Coeff Uncertainty,Impeller Diameter,Efficiency,Efficiency Uncertainty
Single,Experimental,Fully open,1800,0.00315882,2.908359715,0.275376808,0.116181035,6.40E-05,0.036840106,0.00348819,0.002352406,,37.01045175,0.883941015
Single,Experimental,Partial 1,1800,0.003002983,3.164315732,0.299611895,0.110449386,5.50E-05,0.036307595,0.003437769,0.00202238,,39.40699046,0.851526202
Single,Experimental,Partial 2,1800,0.001491962,5.09497057,0.482415131,0.054874214,1.14E-05,0.035223815,0.003335152,0.000421049,,36.95907215,0.381718226
Single,Experimental,Closed,1800,0,5.493058288,0.520107898,0,0,0.035211912,0.003334025,0,,0,0
Single,Experimental,Fully open,2700,0.004857515,5.914268198,0.248884436,0.119105911,0.000136354,0.050007215,0.002104405,0.003343382,,40.91659289,1.199529974
Single,Experimental,Partial 1,2700,0.004749232,6.308927037,0.265492482,0.116450816,0.000108145,0.044699343,0.001881039,0.002651702,,42.67398233,1.017680112
Single,Experimental,Partial 2,2700,0.002911294,10.57949337,0.4452066,0.07138471,2.55E-05,0.035436027,0.00149122,0.000625128,,49.91730715,0.468019035
Single,Experimental,Closed,2700,0,12.39459306,0.521589687,0,0,0.035211912,0.001481789,0,,0,0
Single,Experimental,Fully open,3600,0.00647438,9.71531718,0.229972673,0.119063494,0.000148398,0.062393678,0.00147693,0.002729034,,41.83490733,0.995819381
Single,Experimental,Partial 1,3600,0.006240295,11.22007239,0.265591951,0.114758681,0.000445076,0.15300496,0.003621802,0.00818493,,46.56765965,3.381506725
Single,Experimental,Partial 2,3600,0.002454112,20.76040745,0.491422597,0.045130979,1.41E-05,0.03526103,0.000834669,0.000260056,,44.89828045,0.269719699
Single,Experimental,Closed,3600,0,21.76096168,0.515106861,0,0,0.035211912,0.000833506,0,,0,0
Single,Manufacturer,,1800,0.004,2.58,0.244286208,0.147119554,0,0,0,0,,46,
Single,Manufacturer,,1800,0.0033,4.14,0.391994147,0.121373632,0,0,0,0,,66,
Single,Manufacturer,,1800,0.0026,4.96,0.4696355,0.09562771,0,0,0,0,,67,
Single,Manufacturer,,1800,0.002,5.4,0.511296714,0.073559777,0,0,0,0,,64,
Single,Manufacturer,,2700,0.006,5.77,0.242813336,0.147119554,0,0,0,0,,52,
Single,Manufacturer,,2700,0.005,9.12,0.383788151,0.122599628,0,0,0,0,,71,
Single,Manufacturer,,2700,0.004,11,0.462902375,0.098079703,0,0,0,0,,73,
Single,Manufacturer,,2700,0.003,12.1,0.509192612,0.073559777,0,0,0,0,,69,
Single,Manufacturer,,2700,0.002,12.8,0.538650036,0.049039851,0,0,0,0,,58,
Single,Manufacturer,,3600,0.008,10.3,0.243812785,0.147119554,0,0,0,0,,52,
Single,Manufacturer,,3600,0.0067,16.1,0.381105421,0.123212626,0,0,0,0,,71,
Single,Manufacturer,,3600,0.0054,19.2,0.454485968,0.099305699,0,0,0,0,,73,
Single,Manufacturer,,3600,0.004,21.6,0.511296714,0.073559777,0,0,0,0,,69,
Single,Manufacturer,,3600,0.0027,22.8,0.539702087,0.049652849,0,0,0,0,,59,
Parallel,Experimental,Fully open,2700,0.007266211,11.25698683,0.473716903,0.178166955,0.00039086,0.154279842,0.00649241,0.009583856,,,
Parallel,Experimental,Partial 1,2700,0.006283431,11.69230795,0.492036101,0.154069259,9.72E-05,0.041133547,0.001730983,0.002383286,,,
Parallel,Experimental,Partial 2,2700,0.00221654,12.54389439,0.527872591,0.054349393,1.18E-05,0.024937819,0.001049434,0.000288548,,,
Parallel,Experimental,Closed,2700,0,12.5002288,0.526035054,0,0,0.024898582,0.001047783,0,,,
Series,Experimental,Fully open,2700,0.005583557,9.14569365,0.384869392,0.136908391,0.000280744,0.09768318,0.004110707,0.006883832,,,
Series,Experimental,Partial 1,2700,0.005448569,10.44382812,0.439497531,0.133598518,9.97E-05,0.057694104,0.002427885,0.0024457,,,
Series,Experimental,Partial 2,2700,0.002982946,21.89383788,0.921337231,0.073141608,5.78E-05,0.050647967,0.002131369,0.001417436,,,
Series,Experimental,Closed,2700,0,24.89482186,1.047624741,0,0,0.049797164,0.002095566,0,,,
Parallel,Theoretical,,2700,0.00971503,7.811712347,,,,,,,,,
Parallel,Theoretical,,2700,0.009498464,8.122718868,,,,,,,,,
Parallel,Theoretical,,2700,0.005822588,11.26106699,,,,,,,,,
Parallel,Theoretical,,2700,0,12.39459306,,,,,,,,,
Series,Theoretical,,2700,0.004857515,11.19605501,,,,,,,,,
Series,Theoretical,,2700,0.004749232,12.0132568,,,,,,,,,
Series,Theoretical,,2700,0.002911294,20.93179552,,,,,,,,,
Series,Theoretical,,2700,0,24.78918612,,,,,,,,,
Single,Geometrically Dissimilar,,2700,0.008,10.3,0.243812785,0.147119554,,,,,0.108,,
Single,Geometrically Dissimilar,,2700,0.0067,16.1,0.381105421,0.123212626,,,,,0.108,,
Single,Geometrically Dissimilar,,2700,0.0054,19.4,0.459220197,0.099305699,,,,,0.108,,
Single,Geometrically Dissimilar,,2700,0.004,21.6,0.511296714,0.073559777,,,,,0.108,,
Single,Geometrically Dissimilar,,2700,0.0027,22.8,0.539702087,0.049652849,,,,,0.108,,
Single,Geometrically Dissimilar,,2700,0.0076,7.9,0.209649345,0.158021036,,,,,0.102,,
Single,Geometrically Dissimilar,,2700,0.0063,13,0.344992592,0.130991122,,,,,0.102,,
Single,Geometrically Dissimilar,,2700,0.005,16.3,0.432567635,0.103961208,,,,,0.102,,
Single,Geometrically Dissimilar,,2700,0.0038,18,0.477682051,0.079010518,,,,,0.102,,
Single,Geometrically Dissimilar,,2700,0.0025,19.2,0.509527521,0.051980604,,,,,0.102,,
