MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	57.367188	s	2/8/2024 3:04:25 PM
Time	Ch 1 Force	Bolt
s	N	V
37.384766	3760.0513	0.81692958
37.404297	3754.1218	0.81657577
37.423828	3744.8174	0.81597739
37.443359	3763.9111	0.81576955
37.462891	3769.8799	0.81598067
37.482422	3765.179	0.81649029
37.501953	3784.0225	0.81673419
37.521484	3799.408	0.81648344
37.541016	3801.0305	0.8161068
37.560547	3820.7407	0.81607109
37.580078	3848.7549	0.81660813
37.599609	3853.7917	0.81714272
37.619141	3870.405	0.81741422
37.638672	3906.5979	0.81722683
37.658203	3917.1106	0.81698781
37.677734	3938.1956	0.81714159
37.697266	3975.2126	0.8178007
37.716797	3995.7151	0.81847346
37.736328	4016.3135	0.81880754
37.755859	4060.8516	0.81866896
37.775391	4087.0938	0.81853682
37.794922	4108.3086	0.81889558
37.814453	4150.4321	0.81967366
37.833984	4190.2876	0.82057148
37.853516	4213.8242	0.82084268
37.873047	4252.625	0.82070374
37.892578	4300.5415	0.82083929
37.912109	4329.5229	0.82134104
37.931641	4369.96	0.82237726
37.951172	4420.3477	0.82314491
37.970703	4449.2036	0.82341939
37.990234	4488.7031	0.8235296
38.009766	4543.3506	0.82366675
38.029297	4580.8818	0.82445836
38.048828	4617.4404	0.82542002
38.068359	4670.9497	0.8261832
38.087891	4714.0884	0.82662553
38.107422	4748.5347	0.82669497
38.126953	4804.4243	0.82706243
38.146484	4852.9839	0.82797974
38.166016	4885.145	0.82908261
38.185547	4937.0615	0.82982647
38.205078	4997.8584	0.83009899
38.224609	5040.2549	0.83042896
38.244141	5085.9653	0.83085644
38.263672	5141.8843	0.83179224
38.283203	5177.6426	0.83287001
38.302734	5219.1597	0.83360183
38.322266	5274.2065	0.83392179
38.341797	5311.061	0.83408368
38.361328	5348.084	0.83457291
38.380859	5406.4009	0.83576137
38.400391	5449.6621	0.8367905
38.419922	5478.1479	0.83755368
38.439453	5531.9917	0.8376416
38.458984	5577.5737	0.83784318
38.478516	5603.7295	0.83851206
38.498047	5650.1255	0.83955002
38.517578	5694.5771	0.84047174
