MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	57.398438	s	2/8/2024 2:41:45 PM
Time	Ch 1 Force	Bolt
s	N	V
37.415039	3756.7224	0.41079289
37.43457	3760.8967	0.41126165
37.454102	3748.0977	0.41177973
37.473633	3759.2505	0.41192445
37.493164	3774.3582	0.41153926
37.512695	3770.1475	0.41120383
37.532227	3784.7671	0.41122991
37.551758	3807.2419	0.41186649
37.571289	3806.7493	0.41241193
37.59082	3818.2664	0.41264266
37.610352	3850.0291	0.41225788
37.629883	3860.3267	0.41216925
37.649414	3873.0847	0.41248196
37.668945	3907.0215	0.41319281
37.688477	3928.5574	0.41385296
37.708008	3941.4426	0.41392627
37.727539	3977.8159	0.41381323
37.74707	4005.2944	0.41376978
37.766602	4020.8469	0.41422871
37.786133	4058.7493	0.4151876
37.805664	4098.4502	0.41590172
37.825195	4118.6157	0.41608071
37.844727	4152.0278	0.4159936
37.864258	4196.1919	0.41622415
37.883789	4221.7158	0.41694349
37.90332	4257.8438	0.41786402
37.922852	4305.5352	0.41864979
37.942383	4336.0234	0.41882846
37.961914	4369.1191	0.41890311
37.981445	4421.959	0.41926894
38.000977	4461.7393	0.42017448
38.020508	4490.6191	0.42124873
38.040039	4543.2861	0.42196172
38.05957	4588.9995	0.42217299
38.079102	4623.4736	0.42251316
38.098633	4675.0142	0.42309317
38.118164	4722.4497	0.42421702
38.137695	4755.6836	0.42537123
38.157227	4805.8706	0.42620751
38.176758	4858.9268	0.42649907
38.196289	4894.6455	0.42689234
38.21582	4939.1333	0.42778414
38.235352	4994.7778	0.42929259
38.254883	5033.1157	0.43073389
38.274414	5073.6899	0.43176764
38.293945	5126.9146	0.43242192
38.313477	5169.4282	0.43338382
38.333008	5206.7178	0.4348734
38.352539	5253.501	0.43761736
38.37207	5292.623	0.44078293
38.391602	5327.6958	0.44401163
38.411133	5376.9692	0.44693756
38.430664	5425.9688	0.44999164
38.450195	5461.1719	0.45352954
38.469727	5503.9346	0.45739812
38.489258	5551.3359	0.46104726
38.508789	5588.2344	0.46422261
38.52832	5629.1934	0.46708208
38.547852	5676.7617	0.4700492
38.567383	5705.1357	0.47339165
38.586914	5740.8457	0.47682405
38.606445	5784.1152	0.48000926
38.625977	5819.8418	0.4826141
38.645508	5847.8936	0.48490757
38.665039	5889.0562	0.48738971
38.68457	5922.769	0.49041328
38.704102	5945.9077	0.49347427
38.723633	5981.501	0.49604174
38.743164	6012.3906	0.49786001
38.762695	6029.7954	0.49959695
38.782227	6059.6221	0.50142807
38.801758	6089.3608	0.50384402
38.821289	6104.7031	0.50605005
38.84082	6122.5381	0.50786197
38.860352	6150.7461	0.50905049
38.879883	6164.4609	0.51013666
38.899414	6176.6738	0.5114758
38.918945	6201.5815	0.51321411
38.938477	6210.3374	0.51455873
38.958008	6212.8101	0.51549751
38.977539	6231.5166	0.5159049
38.99707	6241.9937	0.51615977
39.016602	6239.2959	0.51693249
39.036133	6249.0562	0.5178107
39.055664	6258.291	0.51842004
39.075195	6249.0684	0.51849008
39.094727	6252.1885	0.51792163
39.114258	6257.8384	0.51759875
39.133789	6245.6172	0.51759464
39.15332	6239.6045	0.51768017
39.172852	6243.6147	0.51739514
39.192383	6225.9463	0.51651514
39.211914	6210.8647	0.5152204
39.231445	6208.9063	0.51401401
39.250977	6192.5645	0.5131433
39.270508	6169.7593	0.51243901
39.290039	6159.0654	0.51127112
39.30957	6141.0879	0.50954419
39.329102	6111.3472	0.50743651
39.348633	6095.3486	0.50558811
39.368164	6078.1792	0.50407881
39.387695	6042.6411	0.50257069
39.407227	6020.3926	0.50062901
39.426758	5999.3071	0.49802846
39.446289	5965.0347	0.49537387
39.46582	5934.8242	0.4929173
39.485352	5910.2651	0.49102935
39.504883	5872.104	0.48873362
39.524414	5835.3169	0.48614356
39.543945	5809.6958	0.48291397
39.563477	5769.5586	0.4796901
39.583008	5726.4644	0.4766542
39.602539	5694.2998	0.47414795
39.62207	5657.6392	0.47146815
39.641602	5612.1118	0.46830088
39.661133	5573.4165	0.46451956
39.680664	5536.981	0.46092853
39.700195	5486.4561	0.45767066
39.719727	5446.0469	0.45479786
39.739258	5409.4946	0.45169592
39.758789	5358.2476	0.44827092
39.77832	5313.6289	0.44441748
39.797852	5278.8062	0.44071737
39.817383	5229.1812	0.43731824
39.836914	5170.7461	0.43464887
39.856445	5125.3228	0.4330866
39.875977	5075.2378	0.43145332
39.895508	5019.8477	0.42977536
39.915039	4982.7788	0.42839336
39.93457	4938.1362	0.42770115
39.954102	4881.5532	0.42723313
39.973633	4841.6465	0.42659473
39.993164	4802.0664	0.42544428
40.012695	4746.7881	0.42428625
40.032227	4702.8857	0.42327347
40.051758	4668.231	0.42301503
40.071289	4616.8472	0.4228228
40.09082	4570.5938	0.42232382
40.110352	4539.1602	0.4212907
40.129883	4486.2305	0.42031544
40.149414	4440.6206	0.41956007
40.168945	4411.8877	0.41946787
40.188477	4369.3452	0.41940984
40.208008	4319.374	0.41890669
40.227539	4288.1367	0.41790986
40.24707	4251.9326	0.41702318
40.266602	4204.4961	0.41648996
40.286133	4178.6831	0.41656107
40.305664	4148.624	0.41651908
40.325195	4102.5991	0.41585132
40.344727	4075.9788	0.41512015
40.364258	4057.1223	0.41449302
40.383789	4019.9619	0.41418827
40.40332	3985.323	0.41426492
40.422852	3972.8608	0.41437668
40.442383	3939.7124	0.41388321
40.461914	3910.6409	0.41310999
40.481445	3900.6563	0.41255102
40.500977	3875.7593	0.41245615
40.520508	3846.2764	0.41277844
40.540039	3839.6987	0.41280624
40.55957	3828.3281	0.41240597
40.579102	3799.6292	0.41174901
40.598633	3795.2734	0.41128194
40.618164	3791.8438	0.4114843
40.637695	3769.376	0.4118315
40.657227	3763.6731	0.41197723
40.676758	3766.9009	0.41155231
40.696289	3750.2163	0.41102201
40.71582	3743.4736	0.41084751
40.735352	3757.3279	0.41117507
40.754883	3749.9119	0.41163868
40.774414	3742.6616	0.41183636
40.793945	3760.0286	0.4114342
40.813477	3763.064	0.41106379
40.833008	3758.2668	0.4110584
40.852539	3776.6423	0.4116067
40.87207	3791.0349	0.41209579
40.891602	3790.1917	0.41241366
40.911133	3814.8049	0.41200548
40.930664	3837.6191	0.411908
40.950195	3839.9207	0.41204172
40.969727	3860.5225	0.41281077
40.989258	3893.062	0.41338032
41.008789	3903.8931	0.41368467
41.02832	3924.3533	0.41338834
41.047852	3961.7017	0.41331413
41.067383	3979.1287	0.4137603
41.086914	4001.7239	0.41455847
41.106445	4043.2173	0.41527766
41.125977	4069.6682	0.41544014
41.145508	4090.8853	0.41528207
41.165039	4135.0068	0.41536993
41.18457	4171.0601	0.4160341
41.204102	4193.6704	0.41707233
41.223633	4234.9355	0.41779175
