Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,0.458,-0.847,166.0,1.670,2.451,58.0,0.590,-3.031,53.0,0.540,0.344,162.0,1.630,-2.104
0.020,0.383,-0.814,380.0,3.810,2.345,274.0,2.750,-3.064,268.0,2.690,0.343,379.0,3.800,-2.103
0.030,0.301,-0.779,596.0,5.970,2.351,491.0,4.920,-3.030,486.0,4.870,0.341,596.0,5.970,-2.103
0.040,0.220,-0.742,816.0,8.170,2.433,709.0,7.100,-3.026,703.0,7.040,0.343,814.0,8.150,-2.103
0.050,0.137,-0.702,1032.0,10.330,2.397,926.0,9.270,-3.020,921.0,9.220,0.342,1031.0,10.320,-2.103
0.060,0.056,-0.665,1251.0,12.520,2.340,1143.0,11.440,-3.020,1138.0,11.390,0.342,1250.0,12.510,-2.103
0.070,-0.023,-0.629,1471.0,14.720,2.340,1363.0,13.640,-2.998,1357.0,13.580,0.347,1469.0,14.700,-2.103
0.080,-0.107,-0.592,1689.0,16.900,2.348,1582.0,15.830,-2.984,1576.0,15.770,0.342,1688.0,16.890,-2.102
0.090,-0.195,-0.553,1911.0,19.120,2.345,1800.0,18.010,-2.964,1796.0,17.970,0.342,1907.0,19.080,-2.103
0.100,-0.280,-0.515,,,,2020.0,20.210,-3.023,2015.0,20.160,0.343,,,
0.110,-0.364,-0.477,,,,,,,,,,,,
0.120,-0.448,-0.444,,,,,,,,,,,,
0.130,-0.530,-0.409,,,,,,,,,,,,
0.140,-0.611,-0.378,,,,,,,,,,,,
0.150,-0.692,-0.348,,,,,,,,,,,,
0.160,-0.771,-0.319,,,,,,,,,,,,
0.170,-0.848,-0.289,,,,,,,,,,,,
0.180,-0.924,-0.255,,,,,,,,,,,,
0.190,-1.007,-0.223,,,,,,,,,,,,
0.200,-1.087,-0.194,,,,,,,,,,,,
0.210,-1.167,-0.164,,,,,,,,,,,,
0.220,-1.247,-0.137,,,,,,,,,,,,
0.230,-1.325,-0.110,,,,,,,,,,,,
0.240,-1.401,-0.079,,,,,,,,,,,,
0.250,-1.474,-0.051,,,,,,,,,,,,
0.260,-1.543,-0.024,,,,,,,,,,,,
0.270,-1.614,-0.003,,,,,,,,,,,,
0.280,-1.687,0.021,,,,,,,,,,,,
0.290,-1.759,0.047,,,,,,,,,,,,
0.300,-1.828,0.073,,,,,,,,,,,,
0.310,-1.898,0.096,,,,,,,,,,,,
0.320,-1.965,0.118,,,,,,,,,,,,
0.330,-2.038,0.138,,,,,,,,,,,,
0.340,-2.110,0.158,,,,,,,,,,,,
0.350,-2.184,0.177,,,,,,,,,,,,
0.360,-2.254,0.195,,,,,,,,,,,,
0.370,-2.317,0.210,,,,,,,,,,,,
0.380,-2.376,0.224,,,,,,,,,,,,
0.390,-2.435,0.237,,,,,,,,,,,,
0.400,-2.488,0.250,,,,,,,,,,,,
0.410,-2.537,0.262,,,,,,,,,,,,
0.420,-2.587,0.274,,,,,,,,,,,,
0.430,-2.635,0.284,,,,,,,,,,,,
0.440,-2.675,0.295,,,,,,,,,,,,
0.450,-2.718,0.303,,,,,,,,,,,,
0.460,-2.756,0.311,,,,,,,,,,,,
0.470,-2.794,0.318,,,,,,,,,,,,
0.480,-2.831,0.325,,,,,,,,,,,,
0.490,-2.866,0.331,,,,,,,,,,,,
0.500,-2.903,0.336,,,,,,,,,,,,
0.510,-2.929,0.339,,,,,,,,,,,,
0.520,-2.955,0.341,,,,,,,,,,,,
0.530,-2.981,0.343,,,,,,,,,,,,
0.540,-2.997,0.344,,,,,,,,,,,,
0.550,-3.010,0.343,,,,,,,,,,,,
0.560,-3.021,0.341,,,,,,,,,,,,
0.570,-3.026,0.339,,,,,,,,,,,,
0.580,-3.030,0.336,,,,,,,,,,,,
0.590,-3.031,0.333,,,,,,,,,,,,
0.600,-3.028,0.326,,,,,,,,,,,,
0.610,-3.020,0.320,,,,,,,,,,,,
0.620,-3.010,0.312,,,,,,,,,,,,
0.630,-2.998,0.304,,,,,,,,,,,,
0.640,-2.985,0.297,,,,,,,,,,,,
0.650,-2.971,0.288,,,,,,,,,,,,
0.660,-2.954,0.277,,,,,,,,,,,,
0.670,-2.930,0.265,,,,,,,,,,,,
0.680,-2.903,0.253,,,,,,,,,,,,
0.690,-2.876,0.242,,,,,,,,,,,,
0.700,-2.847,0.229,,,,,,,,,,,,
0.710,-2.817,0.217,,,,,,,,,,,,
0.720,-2.784,0.203,,,,,,,,,,,,
0.730,-2.751,0.187,,,,,,,,,,,,
0.740,-2.715,0.171,,,,,,,,,,,,
0.750,-2.675,0.153,,,,,,,,,,,,
0.760,-2.639,0.134,,,,,,,,,,,,
0.770,-2.601,0.116,,,,,,,,,,,,
0.780,-2.558,0.096,,,,,,,,,,,,
0.790,-2.517,0.074,,,,,,,,,,,,
0.800,-2.468,0.050,,,,,,,,,,,,
0.810,-2.417,0.025,,,,,,,,,,,,
0.820,-2.363,0.002,,,,,,,,,,,,
0.830,-2.308,-0.018,,,,,,,,,,,,
0.840,-2.253,-0.041,,,,,,,,,,,,
0.850,-2.188,-0.069,,,,,,,,,,,,
0.860,-2.120,-0.097,,,,,,,,,,,,
0.870,-2.052,-0.125,,,,,,,,,,,,
0.880,-1.986,-0.151,,,,,,,,,,,,
0.890,-1.921,-0.176,,,,,,,,,,,,
0.900,-1.856,-0.205,,,,,,,,,,,,
0.910,-1.791,-0.234,,,,,,,,,,,,
0.920,-1.725,-0.265,,,,,,,,,,,,
0.930,-1.657,-0.294,,,,,,,,,,,,
0.940,-1.593,-0.321,,,,,,,,,,,,
0.950,-1.526,-0.349,,,,,,,,,,,,
0.960,-1.458,-0.379,,,,,,,,,,,,
0.970,-1.384,-0.410,,,,,,,,,,,,
0.980,-1.313,-0.438,,,,,,,,,,,,
0.990,-1.239,-0.468,,,,,,,,,,,,
1.000,-1.160,-0.503,,,,,,,,,,,,
