Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,-12.556,-0.936,64.0,0.650,11.794,119.0,1.200,-11.388,,,,,,
0.020,-12.556,-0.935,173.0,1.740,10.903,228.0,2.290,-10.526,,,,,,
0.030,-12.557,-0.935,282.0,2.830,9.971,336.0,3.370,-9.586,,,,,,
0.040,-12.559,-0.934,391.0,3.920,9.093,445.0,4.460,-8.682,,,,,,
0.050,-12.561,-0.934,500.0,5.010,8.177,554.0,5.550,-7.834,,,,,,
0.060,-12.562,-0.934,609.0,6.100,7.273,663.0,6.640,-6.986,,,,,,
0.070,-12.562,-0.934,718.0,7.190,6.431,772.0,7.730,-6.128,,,,,,
0.080,-12.559,-0.932,827.0,8.280,5.583,882.0,8.830,-5.281,,,,,,
0.090,-12.551,-0.929,936.0,9.370,4.689,991.0,9.920,-4.401,,,,,,
0.100,-12.527,-0.927,1045.0,10.460,3.873,1100.0,11.010,-3.560,,,,,,
0.110,-12.482,-0.926,1155.0,11.560,3.015,1209.0,12.100,-2.729,,,,,,
0.120,-12.420,-0.924,1265.0,12.660,2.149,1319.0,13.200,-1.896,,,,,,
0.130,-12.332,-0.922,1374.0,13.750,1.320,1428.0,14.290,-1.056,,,,,,
0.140,-12.216,-0.920,1481.0,14.820,0.577,,,,,,,,,
0.150,-12.065,-0.918,,,,,,,,,,,,
0.160,-11.878,-0.916,,,,,,,,,,,,
0.170,-11.652,-0.917,,,,,,,,,,,,
0.180,-11.388,-0.917,,,,,,,,,,,,
0.190,-11.091,-0.917,,,,,,,,,,,,
0.200,-10.761,-0.917,,,,,,,,,,,,
0.210,-10.391,-0.918,,,,,,,,,,,,
0.220,-9.988,-0.919,,,,,,,,,,,,
0.230,-9.554,-0.920,,,,,,,,,,,,
0.240,-9.092,-0.922,,,,,,,,,,,,
0.250,-8.595,-0.924,,,,,,,,,,,,
0.260,-8.066,-0.925,,,,,,,,,,,,
0.270,-7.512,-0.925,,,,,,,,,,,,
0.280,-6.933,-0.925,,,,,,,,,,,,
0.290,-6.333,-0.925,,,,,,,,,,,,
0.300,-5.715,-0.925,,,,,,,,,,,,
0.310,-5.073,-0.927,,,,,,,,,,,,
0.320,-4.414,-0.927,,,,,,,,,,,,
0.330,-3.745,-0.925,,,,,,,,,,,,
0.340,-3.066,-0.923,,,,,,,,,,,,
0.350,-2.377,-0.921,,,,,,,,,,,,
0.360,-1.680,-0.922,,,,,,,,,,,,
0.370,-0.985,-0.925,,,,,,,,,,,,
0.380,-0.293,-0.927,,,,,,,,,,,,
0.390,0.399,-0.929,,,,,,,,,,,,
0.400,1.087,-0.929,,,,,,,,,,,,
0.410,1.769,-0.929,,,,,,,,,,,,
0.420,2.449,-0.932,,,,,,,,,,,,
0.430,3.118,-0.934,,,,,,,,,,,,
0.440,3.766,-0.935,,,,,,,,,,,,
0.450,4.402,-0.937,,,,,,,,,,,,
0.460,5.025,-0.938,,,,,,,,,,,,
0.470,5.639,-0.939,,,,,,,,,,,,
0.480,6.227,-0.939,,,,,,,,,,,,
0.490,6.798,-0.938,,,,,,,,,,,,
0.500,7.345,-0.938,,,,,,,,,,,,
0.510,7.866,-0.939,,,,,,,,,,,,
0.520,8.363,-0.941,,,,,,,,,,,,
0.530,8.837,-0.942,,,,,,,,,,,,
0.540,9.279,-0.943,,,,,,,,,,,,
0.550,9.693,-0.944,,,,,,,,,,,,
0.560,10.070,-0.945,,,,,,,,,,,,
0.570,10.413,-0.947,,,,,,,,,,,,
0.580,10.722,-0.947,,,,,,,,,,,,
