Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,-1.041,-1.992,26.0,0.270,0.866,60.0,0.610,-1.202,28.0,0.290,0.333,62.0,0.630,-2.096
0.020,-0.983,-1.935,93.0,0.940,0.891,125.0,1.260,-1.196,94.0,0.950,0.334,128.0,1.290,-2.097
0.030,-0.918,-1.867,159.0,1.600,0.888,191.0,1.920,-1.171,160.0,1.610,0.333,194.0,1.950,-2.097
0.040,-0.847,-1.792,225.0,2.260,0.884,257.0,2.580,-1.205,226.0,2.270,0.333,259.0,2.600,-2.097
0.050,-0.772,-1.708,291.0,2.920,0.891,327.0,3.280,-1.202,292.0,2.930,0.333,325.0,3.260,-2.096
0.060,-0.692,-1.616,356.0,3.570,0.876,389.0,3.900,-1.179,358.0,3.590,0.334,391.0,3.920,-2.097
0.070,-0.594,-1.515,422.0,4.230,0.883,455.0,4.560,-1.208,424.0,4.250,0.333,457.0,4.580,-2.098
0.080,-0.489,-1.410,488.0,4.890,0.889,521.0,5.220,-1.196,490.0,4.910,0.332,523.0,5.240,-2.098
0.090,-0.397,-1.302,554.0,5.550,0.878,587.0,5.880,-1.191,556.0,5.570,0.333,589.0,5.900,-2.096
0.100,-0.305,-1.191,620.0,6.210,0.881,657.0,6.580,-1.259,622.0,6.230,0.333,655.0,6.560,-2.096
0.110,-0.215,-1.074,686.0,6.870,0.879,719.0,7.200,-1.190,688.0,6.890,0.334,721.0,7.220,-2.097
0.120,-0.122,-0.958,752.0,7.530,0.884,785.0,7.860,-1.203,754.0,7.550,0.334,787.0,7.880,-2.097
0.130,-0.023,-0.842,818.0,8.190,0.890,847.0,8.480,-1.205,819.0,8.200,0.333,853.0,8.540,-2.097
0.140,0.074,-0.726,884.0,8.850,0.876,912.0,9.130,-1.205,885.0,8.860,0.333,919.0,9.200,-2.096
0.150,0.171,-0.610,950.0,9.510,0.885,987.0,9.880,-1.308,951.0,9.520,0.333,985.0,9.860,-2.096
0.160,0.261,-0.498,1016.0,10.170,0.876,1048.0,10.490,-1.198,1017.0,10.180,0.333,1051.0,10.520,-2.097
0.170,0.351,-0.389,1082.0,10.830,0.872,1114.0,11.150,-1.208,1083.0,10.840,0.334,1117.0,11.180,-2.096
0.180,0.436,-0.285,1148.0,11.490,0.886,1180.0,11.810,-1.197,1149.0,11.500,0.334,1182.0,11.830,-2.094
0.190,0.518,-0.185,1213.0,12.140,0.878,1246.0,12.470,-1.194,1215.0,12.160,0.333,1248.0,12.490,-2.096
0.200,0.589,-0.093,1280.0,12.810,0.881,1312.0,13.130,-1.200,1281.0,12.820,0.333,1314.0,13.150,-2.097
0.210,0.652,-0.009,1345.0,13.460,0.873,1378.0,13.790,-1.215,1347.0,13.480,0.334,1380.0,13.810,-2.097
0.220,0.708,0.068,1411.0,14.120,0.879,1448.0,14.490,-1.262,1413.0,14.140,0.334,1446.0,14.470,-2.098
0.230,0.758,0.136,1477.0,14.780,0.867,1510.0,15.110,-1.189,1479.0,14.800,0.333,1512.0,15.130,-2.096
0.240,0.796,0.195,1543.0,15.440,0.878,1576.0,15.770,-1.195,1545.0,15.460,0.333,1578.0,15.790,-2.098
0.250,0.829,0.244,,,,,,,,,,,,
0.260,0.852,0.283,,,,,,,,,,,,
0.270,0.866,0.310,,,,,,,,,,,,
0.280,0.866,0.326,,,,,,,,,,,,
0.290,0.864,0.333,,,,,,,,,,,,
0.300,0.847,0.332,,,,,,,,,,,,
0.310,0.821,0.321,,,,,,,,,,,,
0.320,0.786,0.300,,,,,,,,,,,,
0.330,0.748,0.267,,,,,,,,,,,,
0.340,0.699,0.224,,,,,,,,,,,,
0.350,0.642,0.174,,,,,,,,,,,,
0.360,0.576,0.114,,,,,,,,,,,,
0.370,0.486,0.048,,,,,,,,,,,,
0.380,0.407,-0.025,,,,,,,,,,,,
0.390,0.324,-0.107,,,,,,,,,,,,
0.400,0.233,-0.195,,,,,,,,,,,,
0.410,0.140,-0.292,,,,,,,,,,,,
0.420,0.041,-0.393,,,,,,,,,,,,
0.430,-0.054,-0.498,,,,,,,,,,,,
0.440,-0.137,-0.606,,,,,,,,,,,,
0.450,-0.231,-0.715,,,,,,,,,,,,
0.460,-0.306,-0.826,,,,,,,,,,,,
0.470,-0.408,-0.939,,,,,,,,,,,,
0.480,-0.563,-1.052,,,,,,,,,,,,
0.490,-0.642,-1.165,,,,,,,,,,,,
0.500,-0.732,-1.275,,,,,,,,,,,,
0.510,-0.814,-1.382,,,,,,,,,,,,
0.520,-0.896,-1.485,,,,,,,,,,,,
0.530,-0.981,-1.584,,,,,,,,,,,,
0.540,-1.046,-1.676,,,,,,,,,,,,
0.550,-1.109,-1.762,,,,,,,,,,,,
0.560,-1.155,-1.839,,,,,,,,,,,,
0.570,-1.132,-1.908,,,,,,,,,,,,
0.580,-1.171,-1.970,,,,,,,,,,,,
0.590,-1.189,-2.019,,,,,,,,,,,,
0.600,-1.200,-2.057,,,,,,,,,,,,
0.610,-1.202,-2.081,,,,,,,,,,,,
0.620,-1.197,-2.094,,,,,,,,,,,,
0.630,-1.183,-2.096,,,,,,,,,,,,
0.640,-1.158,-2.088,,,,,,,,,,,,
0.650,-1.132,-2.068,,,,,,,,,,,,
0.660,-1.087,-2.034,,,,,,,,,,,,
0.670,-1.034,-1.987,,,,,,,,,,,,
0.680,-0.969,-1.930,,,,,,,,,,,,
0.690,-0.899,-1.862,,,,,,,,,,,,
0.700,-0.825,-1.786,,,,,,,,,,,,
0.710,-0.747,-1.702,,,,,,,,,,,,
0.720,-0.662,-1.610,,,,,,,,,,,,
0.730,-0.567,-1.511,,,,,,,,,,,,
0.740,-0.465,-1.405,,,,,,,,,,,,
0.750,-0.374,-1.296,,,,,,,,,,,,
0.760,-0.282,-1.184,,,,,,,,,,,,
0.770,-0.192,-1.067,,,,,,,,,,,,
0.780,-0.096,-0.951,,,,,,,,,,,,
0.790,0.007,-0.834,,,,,,,,,,,,
0.800,0.106,-0.717,,,,,,,,,,,,
0.810,0.198,-0.601,,,,,,,,,,,,
0.820,0.292,-0.489,,,,,,,,,,,,
0.830,0.383,-0.381,,,,,,,,,,,,
0.840,0.472,-0.276,,,,,,,,,,,,
0.850,0.550,-0.177,,,,,,,,,,,,
0.860,0.627,-0.086,,,,,,,,,,,,
0.870,0.690,-0.002,,,,,,,,,,,,
0.880,0.743,0.072,,,,,,,,,,,,
0.890,0.788,0.140,,,,,,,,,,,,
0.900,0.825,0.197,,,,,,,,,,,,
0.910,0.850,0.247,,,,,,,,,,,,
0.920,0.872,0.285,,,,,,,,,,,,
0.930,0.886,0.311,,,,,,,,,,,,
0.940,0.891,0.327,,,,,,,,,,,,
0.950,0.881,0.334,,,,,,,,,,,,
0.960,0.864,0.332,,,,,,,,,,,,
0.970,0.840,0.320,,,,,,,,,,,,
0.980,0.813,0.298,,,,,,,,,,,,
0.990,0.776,0.265,,,,,,,,,,,,
1.000,0.729,0.221,,,,,,,,,,,,
1.010,0.673,0.171,,,,,,,,,,,,
1.020,0.606,0.110,,,,,,,,,,,,
1.030,0.533,0.043,,,,,,,,,,,,
1.040,0.454,-0.031,,,,,,,,,,,,
1.050,0.366,-0.114,,,,,,,,,,,,
1.060,0.275,-0.202,,,,,,,,,,,,
1.070,0.182,-0.299,,,,,,,,,,,,
1.080,0.086,-0.400,,,,,,,,,,,,
1.090,-0.011,-0.505,,,,,,,,,,,,
1.100,-0.117,-0.614,,,,,,,,,,,,
1.110,-0.214,-0.722,,,,,,,,,,,,
1.120,-0.313,-0.834,,,,,,,,,,,,
1.130,-0.402,-0.947,,,,,,,,,,,,
1.140,-0.514,-1.060,,,,,,,,,,,,
1.150,-0.663,-1.172,,,,,,,,,,,,
1.160,-0.759,-1.281,,,,,,,,,,,,
1.170,-0.841,-1.388,,,,,,,,,,,,
1.180,-0.922,-1.492,,,,,,,,,,,,
1.190,-0.988,-1.591,,,,,,,,,,,,
1.200,-1.056,-1.682,,,,,,,,,,,,
1.210,-1.115,-1.767,,,,,,,,,,,,
1.220,-1.172,-1.844,,,,,,,,,,,,
1.230,-1.194,-1.914,,,,,,,,,,,,
1.240,-1.164,-1.974,,,,,,,,,,,,
1.250,-1.183,-2.023,,,,,,,,,,,,
1.260,-1.196,-2.059,,,,,,,,,,,,
1.270,-1.196,-2.083,,,,,,,,,,,,
1.280,-1.191,-2.095,,,,,,,,,,,,
1.290,-1.178,-2.097,,,,,,,,,,,,
1.300,-1.148,-2.087,,,,,,,,,,,,
1.310,-1.099,-2.065,,,,,,,,,,,,
1.320,-1.055,-2.032,,,,,,,,,,,,
1.330,-1.003,-1.984,,,,,,,,,,,,
1.340,-0.941,-1.926,,,,,,,,,,,,
1.350,-0.874,-1.857,,,,,,,,,,,,
1.360,-0.798,-1.780,,,,,,,,,,,,
1.370,-0.719,-1.695,,,,,,,,,,,,
1.380,-0.633,-1.603,,,,,,,,,,,,
1.390,-0.548,-1.503,,,,,,,,,,,,
1.400,-0.473,-1.397,,,,,,,,,,,,
1.410,-0.382,-1.287,,,,,,,,,,,,
1.420,-0.289,-1.176,,,,,,,,,,,,
1.430,-0.183,-1.060,,,,,,,,,,,,
1.440,-0.085,-0.945,,,,,,,,,,,,
1.450,0.011,-0.828,,,,,,,,,,,,
1.460,0.108,-0.712,,,,,,,,,,,,
1.470,0.203,-0.596,,,,,,,,,,,,
1.480,0.298,-0.485,,,,,,,,,,,,
1.490,0.389,-0.377,,,,,,,,,,,,
1.500,0.477,-0.272,,,,,,,,,,,,
1.510,0.554,-0.172,,,,,,,,,,,,
1.520,0.618,-0.082,,,,,,,,,,,,
1.530,0.683,0.001,,,,,,,,,,,,
1.540,0.737,0.076,,,,,,,,,,,,
1.550,0.783,0.143,,,,,,,,,,,,
1.560,0.819,0.200,,,,,,,,,,,,
1.570,0.846,0.249,,,,,,,,,,,,
1.580,0.871,0.285,,,,,,,,,,,,
1.590,0.884,0.311,,,,,,,,,,,,
1.600,0.888,0.327,,,,,,,,,,,,
1.610,0.878,0.333,,,,,,,,,,,,
1.620,0.860,0.331,,,,,,,,,,,,
1.630,0.836,0.318,,,,,,,,,,,,
1.640,0.805,0.295,,,,,,,,,,,,
1.650,0.767,0.262,,,,,,,,,,,,
1.660,0.717,0.219,,,,,,,,,,,,
1.670,0.661,0.168,,,,,,,,,,,,
1.680,0.597,0.107,,,,,,,,,,,,
1.690,0.527,0.039,,,,,,,,,,,,
1.700,0.448,-0.035,,,,,,,,,,,,
1.710,0.361,-0.116,,,,,,,,,,,,
1.720,0.270,-0.206,,,,,,,,,,,,
1.730,0.179,-0.304,,,,,,,,,,,,
1.740,0.081,-0.406,,,,,,,,,,,,
1.750,-0.016,-0.510,,,,,,,,,,,,
1.760,-0.118,-0.619,,,,,,,,,,,,
1.770,-0.217,-0.728,,,,,,,,,,,,
1.780,-0.310,-0.840,,,,,,,,,,,,
1.790,-0.392,-0.953,,,,,,,,,,,,
1.800,-0.482,-1.066,,,,,,,,,,,,
1.810,-0.578,-1.178,,,,,,,,,,,,
1.820,-0.676,-1.287,,,,,,,,,,,,
1.830,-0.755,-1.394,,,,,,,,,,,,
1.840,-0.834,-1.498,,,,,,,,,,,,
1.850,-0.907,-1.595,,,,,,,,,,,,
1.860,-0.971,-1.686,,,,,,,,,,,,
1.870,-1.028,-1.771,,,,,,,,,,,,
1.880,-1.087,-1.848,,,,,,,,,,,,
1.890,-1.127,-1.917,,,,,,,,,,,,
1.900,-1.150,-1.976,,,,,,,,,,,,
1.910,-1.159,-2.024,,,,,,,,,,,,
1.920,-1.171,-2.060,,,,,,,,,,,,
1.930,-1.169,-2.084,,,,,,,,,,,,
1.940,-1.161,-2.096,,,,,,,,,,,,
1.950,-1.149,-2.097,,,,,,,,,,,,
1.960,-1.141,-2.086,,,,,,,,,,,,
1.970,-1.141,-2.065,,,,,,,,,,,,
1.980,-1.095,-2.031,,,,,,,,,,,,
1.990,-1.042,-1.982,,,,,,,,,,,,
2.000,-0.983,-1.923,,,,,,,,,,,,
2.010,-0.917,-1.853,,,,,,,,,,,,
2.020,-0.843,-1.775,,,,,,,,,,,,
2.030,-0.762,-1.690,,,,,,,,,,,,
2.040,-0.675,-1.597,,,,,,,,,,,,
2.050,-0.575,-1.497,,,,,,,,,,,,
2.060,-0.452,-1.390,,,,,,,,,,,,
2.070,-0.362,-1.280,,,,,,,,,,,,
2.080,-0.270,-1.170,,,,,,,,,,,,
2.090,-0.174,-1.054,,,,,,,,,,,,
2.100,-0.076,-0.938,,,,,,,,,,,,
2.110,0.022,-0.821,,,,,,,,,,,,
2.120,0.119,-0.705,,,,,,,,,,,,
2.130,0.213,-0.590,,,,,,,,,,,,
2.140,0.308,-0.479,,,,,,,,,,,,
2.150,0.396,-0.371,,,,,,,,,,,,
2.160,0.481,-0.266,,,,,,,,,,,,
2.170,0.558,-0.166,,,,,,,,,,,,
2.180,0.630,-0.077,,,,,,,,,,,,
2.190,0.692,0.006,,,,,,,,,,,,
2.200,0.744,0.081,,,,,,,,,,,,
2.210,0.786,0.148,,,,,,,,,,,,
2.220,0.822,0.203,,,,,,,,,,,,
2.230,0.849,0.252,,,,,,,,,,,,
2.240,0.872,0.287,,,,,,,,,,,,
2.250,0.883,0.313,,,,,,,,,,,,
2.260,0.884,0.328,,,,,,,,,,,,
2.270,0.875,0.333,,,,,,,,,,,,
2.280,0.856,0.329,,,,,,,,,,,,
2.290,0.832,0.316,,,,,,,,,,,,
2.300,0.799,0.292,,,,,,,,,,,,
2.310,0.758,0.259,,,,,,,,,,,,
2.320,0.709,0.214,,,,,,,,,,,,
2.330,0.652,0.163,,,,,,,,,,,,
2.340,0.584,0.102,,,,,,,,,,,,
2.350,0.509,0.034,,,,,,,,,,,,
2.360,0.425,-0.040,,,,,,,,,,,,
2.370,0.338,-0.122,,,,,,,,,,,,
2.380,0.245,-0.212,,,,,,,,,,,,
2.390,0.152,-0.310,,,,,,,,,,,,
2.400,0.052,-0.411,,,,,,,,,,,,
2.410,-0.049,-0.515,,,,,,,,,,,,
2.420,-0.149,-0.624,,,,,,,,,,,,
2.430,-0.242,-0.734,,,,,,,,,,,,
2.440,-0.333,-0.846,,,,,,,,,,,,
2.450,-0.431,-0.959,,,,,,,,,,,,
2.460,-0.521,-1.071,,,,,,,,,,,,
2.470,-0.616,-1.184,,,,,,,,,,,,
2.480,-0.703,-1.293,,,,,,,,,,,,
2.490,-0.784,-1.401,,,,,,,,,,,,
2.500,-0.863,-1.504,,,,,,,,,,,,
2.510,-0.935,-1.600,,,,,,,,,,,,
2.520,-1.002,-1.692,,,,,,,,,,,,
2.530,-1.065,-1.776,,,,,,,,,,,,
2.540,-1.111,-1.853,,,,,,,,,,,,
2.550,-1.153,-1.921,,,,,,,,,,,,
2.560,-1.177,-1.979,,,,,,,,,,,,
2.570,-1.197,-2.027,,,,,,,,,,,,
2.580,-1.205,-2.063,,,,,,,,,,,,
2.590,-1.203,-2.086,,,,,,,,,,,,
2.600,-1.197,-2.097,,,,,,,,,,,,
2.610,-1.183,-2.096,,,,,,,,,,,,
2.620,-1.148,-2.085,,,,,,,,,,,,
2.630,-1.090,-2.064,,,,,,,,,,,,
2.640,-1.043,-2.029,,,,,,,,,,,,
2.650,-0.990,-1.980,,,,,,,,,,,,
2.660,-0.928,-1.920,,,,,,,,,,,,
2.670,-0.859,-1.850,,,,,,,,,,,,
2.680,-0.783,-1.772,,,,,,,,,,,,
2.690,-0.702,-1.686,,,,,,,,,,,,
2.700,-0.616,-1.593,,,,,,,,,,,,
2.710,-0.533,-1.492,,,,,,,,,,,,
2.720,-0.462,-1.386,,,,,,,,,,,,
2.730,-0.369,-1.276,,,,,,,,,,,,
2.740,-0.273,-1.165,,,,,,,,,,,,
2.750,-0.180,-1.048,,,,,,,,,,,,
2.760,-0.083,-0.932,,,,,,,,,,,,
2.770,0.017,-0.816,,,,,,,,,,,,
2.780,0.116,-0.700,,,,,,,,,,,,
2.790,0.211,-0.584,,,,,,,,,,,,
2.800,0.305,-0.474,,,,,,,,,,,,
2.810,0.393,-0.365,,,,,,,,,,,,
2.820,0.481,-0.261,,,,,,,,,,,,
2.830,0.558,-0.162,,,,,,,,,,,,
2.840,0.635,-0.074,,,,,,,,,,,,
2.850,0.698,0.009,,,,,,,,,,,,
2.860,0.748,0.083,,,,,,,,,,,,
2.870,0.792,0.149,,,,,,,,,,,,
2.880,0.829,0.204,,,,,,,,,,,,
2.890,0.855,0.252,,,,,,,,,,,,
2.900,0.877,0.288,,,,,,,,,,,,
2.910,0.888,0.314,,,,,,,,,,,,
2.920,0.891,0.328,,,,,,,,,,,,
2.930,0.882,0.333,,,,,,,,,,,,
2.940,0.864,0.329,,,,,,,,,,,,
2.950,0.839,0.315,,,,,,,,,,,,
2.960,0.806,0.292,,,,,,,,,,,,
2.970,0.769,0.257,,,,,,,,,,,,
2.980,0.721,0.212,,,,,,,,,,,,
2.990,0.666,0.161,,,,,,,,,,,,
3.000,0.598,0.099,,,,,,,,,,,,
3.010,0.525,0.031,,,,,,,,,,,,
3.020,0.446,-0.044,,,,,,,,,,,,
3.030,0.361,-0.128,,,,,,,,,,,,
3.040,0.271,-0.219,,,,,,,,,,,,
3.050,0.176,-0.316,,,,,,,,,,,,
3.060,0.100,-0.417,,,,,,,,,,,,
3.070,0.002,-0.522,,,,,,,,,,,,
3.080,-0.129,-0.632,,,,,,,,,,,,
3.090,-0.226,-0.741,,,,,,,,,,,,
3.100,-0.330,-0.852,,,,,,,,,,,,
3.110,-0.444,-0.965,,,,,,,,,,,,
3.120,-0.569,-1.078,,,,,,,,,,,,
3.130,-0.676,-1.190,,,,,,,,,,,,
3.140,-0.766,-1.299,,,,,,,,,,,,
3.150,-0.870,-1.405,,,,,,,,,,,,
3.160,-0.952,-1.508,,,,,,,,,,,,
3.170,-0.992,-1.605,,,,,,,,,,,,
3.180,-1.054,-1.696,,,,,,,,,,,,
3.190,-1.106,-1.781,,,,,,,,,,,,
3.200,-1.141,-1.856,,,,,,,,,,,,
3.210,-1.151,-1.923,,,,,,,,,,,,
3.220,-1.162,-1.981,,,,,,,,,,,,
3.230,-1.178,-2.029,,,,,,,,,,,,
3.240,-1.188,-2.064,,,,,,,,,,,,
3.250,-1.187,-2.086,,,,,,,,,,,,
3.260,-1.182,-2.096,,,,,,,,,,,,
3.270,-1.170,-2.096,,,,,,,,,,,,
3.280,-1.202,-2.085,,,,,,,,,,,,
3.290,-1.166,-2.063,,,,,,,,,,,,
3.300,-1.122,-2.027,,,,,,,,,,,,
3.310,-1.070,-1.976,,,,,,,,,,,,
3.320,-1.009,-1.916,,,,,,,,,,,,
3.330,-0.941,-1.846,,,,,,,,,,,,
3.340,-0.866,-1.767,,,,,,,,,,,,
3.350,-0.787,-1.681,,,,,,,,,,,,
3.360,-0.702,-1.587,,,,,,,,,,,,
3.370,-0.554,-1.486,,,,,,,,,,,,
3.380,-0.461,-1.379,,,,,,,,,,,,
3.390,-0.369,-1.270,,,,,,,,,,,,
3.400,-0.278,-1.158,,,,,,,,,,,,
3.410,-0.186,-1.041,,,,,,,,,,,,
3.420,-0.087,-0.925,,,,,,,,,,,,
3.430,0.012,-0.809,,,,,,,,,,,,
3.440,0.109,-0.693,,,,,,,,,,,,
3.450,0.201,-0.577,,,,,,,,,,,,
3.460,0.294,-0.466,,,,,,,,,,,,
3.470,0.382,-0.359,,,,,,,,,,,,
3.480,0.469,-0.255,,,,,,,,,,,,
3.490,0.548,-0.157,,,,,,,,,,,,
3.500,0.618,-0.068,,,,,,,,,,,,
3.510,0.679,0.014,,,,,,,,,,,,
3.520,0.733,0.088,,,,,,,,,,,,
3.530,0.779,0.153,,,,,,,,,,,,
3.540,0.816,0.208,,,,,,,,,,,,
3.550,0.843,0.256,,,,,,,,,,,,
3.560,0.866,0.292,,,,,,,,,,,,
3.570,0.876,0.316,,,,,,,,,,,,
3.580,0.876,0.330,,,,,,,,,,,,
3.590,0.870,0.334,,,,,,,,,,,,
3.600,0.848,0.330,,,,,,,,,,,,
3.610,0.820,0.316,,,,,,,,,,,,
3.620,0.786,0.291,,,,,,,,,,,,
3.630,0.746,0.256,,,,,,,,,,,,
3.640,0.696,0.210,,,,,,,,,,,,
3.650,0.636,0.159,,,,,,,,,,,,
3.660,0.568,0.097,,,,,,,,,,,,
3.670,0.491,0.027,,,,,,,,,,,,
3.680,0.411,-0.048,,,,,,,,,,,,
3.690,0.327,-0.132,,,,,,,,,,,,
3.700,0.235,-0.223,,,,,,,,,,,,
3.710,0.141,-0.320,,,,,,,,,,,,
3.720,0.043,-0.423,,,,,,,,,,,,
3.730,-0.062,-0.528,,,,,,,,,,,,
3.740,-0.146,-0.638,,,,,,,,,,,,
3.750,-0.238,-0.746,,,,,,,,,,,,
3.760,-0.326,-0.858,,,,,,,,,,,,
3.770,-0.413,-0.971,,,,,,,,,,,,
3.780,-0.507,-1.084,,,,,,,,,,,,
3.790,-0.596,-1.196,,,,,,,,,,,,
3.800,-0.686,-1.305,,,,,,,,,,,,
3.810,-0.764,-1.411,,,,,,,,,,,,
3.820,-0.835,-1.513,,,,,,,,,,,,
3.830,-0.919,-1.611,,,,,,,,,,,,
3.840,-0.983,-1.701,,,,,,,,,,,,
3.850,-1.043,-1.784,,,,,,,,,,,,
3.860,-1.097,-1.859,,,,,,,,,,,,
3.870,-1.130,-1.927,,,,,,,,,,,,
3.880,-1.156,-1.985,,,,,,,,,,,,
3.890,-1.168,-2.031,,,,,,,,,,,,
3.900,-1.179,-2.065,,,,,,,,,,,,
3.910,-1.178,-2.087,,,,,,,,,,,,
3.920,-1.169,-2.097,,,,,,,,,,,,
3.930,-1.155,-2.096,,,,,,,,,,,,
3.940,-1.118,-2.084,,,,,,,,,,,,
3.950,-1.100,-2.060,,,,,,,,,,,,
3.960,-1.054,-2.023,,,,,,,,,,,,
3.970,-0.998,-1.973,,,,,,,,,,,,
3.980,-0.937,-1.912,,,,,,,,,,,,
3.990,-0.869,-1.842,,,,,,,,,,,,
4.000,-0.794,-1.762,,,,,,,,,,,,
4.010,-0.713,-1.675,,,,,,,,,,,,
4.020,-0.625,-1.582,,,,,,,,,,,,
4.030,-0.546,-1.481,,,,,,,,,,,,
