Time,Thermistor Temperature,Thermocouple Temperature,Thermistor Response,Thermocouple Response
0,39.914,42.617,39.914,42.617
0.03848,36.71,41.973,38.03237331,39.07143777
0.07696,34.574,40.684,36.33492802,36.08315064
0.11544,33.506,31.66,34.80363569,33.56454867
0.15392,32.438,28.437,33.42223258,31.44180892
0.1924,30.302,27.148,32.17604692,29.6527116
0.23088,30.302,26.504,31.05184306,28.14481633
0.26936,31.37,25.859,30.03768092,26.87392508
0.30784,29.234,25.859,29.12278916,25.80278664
0.34632,27.098,24.57,28.29745079,24.90000479
0.384808,27.098,23.926,27.55275299,24.13897297
0.42328,27.098,23.926,26.88122882,23.49782392
0.46176,27.098,23.926,26.27530364,22.95732546
0.50024,26.03,23.281,25.72868892,22.50178005
0.53872,27.098,23.281,25.23557911,22.11783517
0.5772,23.894,22.637,24.79073692,21.79423697
0.61568,24.962,22.637,24.38943773,21.52150044
0.65416,24.962,22.637,24.02741936,21.29163138
0.69264,23.894,22.637,23.70083684,21.09789207
0.73112,22.826,22.637,23.40622157,20.93460382
0.7696,23.894,21.348,23.14044446,20.79698045
0.80808,23.894,21.348,22.90068271,20.68098809
0.84656,22.826,20.059,22.68438984,20.58322688
0.88504,22.826,20.703,22.4892686,20.50083132
0.92352,23.894,20.703,22.31324664,20.43138631
0.962,21.759,21.348,22.15445443,20.37285635
1.00048,22.826,20.703,22.01120546,20.32352586
1.03896,21.759,20.703,21.8819783,20.28194891
1.07744,20.691,20.703,21.76540042,20.24690683
1.11592,21.759,20.703,21.66023366,20.2173725
1.1544,22.826,20.059,21.56536107,20.19248024
1.19288,21.759,20.059,21.47977499,20.17150044
1.23136,20.691,20.059,21.40256644,20.15381814
1.26984,21.759,20.703,21.33291537,20.13891506
1.30832,21.759,20.703,21.27008204,20.12635438
1.3468,19.623,20.703,21.2133991,20.11576793
1.38528,21.759,20.703,21.16226452,20.10684541
1.42376,20.691,20.703,21.1161352,20.09932529
1.46224,19.623,20.059,21.07452121,20.09298715
1.50072,20.691,20.703,21.03698057,20.0876452
1.5392,,20.059,,20.08314288
1.57768,,20.703,,20.07934822
1.61616,,20.059,,20.07614998
